Review,Sentiment
The restaurant was not working.,Negative
The breakfast was not working.,Negative
Bad room ruined our stay.,Negative
Everything was perfect including the room.,Positive
The bed was satisfactory.,Neutral
Poor service and rude staff.,Negative
The service was dirty and unpleasant.,Negative
The view was terrible.,Negative
The parking was dirty and unpleasant.,Negative
The facilities was satisfactory.,Neutral
Highly recommend this hotel for its garden.,Positive
Overall the parking was okay.,Neutral
Everything was perfect including the service.,Positive
The room was clean but the food was average.,Neutral
Great location but the staff was slow.,Neutral
The hotel was nice although the bathroom needed repairs.,Neutral
Breakfast was excellent but the room was noisy.,Neutral
The service was good but check-in took too long.,Neutral
The room was comfortable but the WiFi kept disconnecting.,Neutral
I loved the location but the cleanliness could improve.,Neutral
The food was delicious however the staff was unfriendly.,Neutral
Everything was good except the air conditioner.,Neutral
The hotel exceeded expectations but parking was limited.,Neutral
The room was okay but the bed was uncomfortable.,Neutral
The room was spacious but the bathroom was not clean.,Neutral
The food was tasty but the service was slow.,Neutral
Excellent location but the WiFi was unreliable.,Neutral
The staff were polite although check-in took too long.,Neutral
The swimming pool was good but overcrowded.,Neutral
The bed was comfortable but the room was noisy.,Neutral
The hotel looked nice but the parking was limited.,Neutral
Breakfast was decent although the coffee was cold.,Neutral
The view was beautiful but the room was expensive.,Neutral
The air conditioner worked but made a lot of noise.,Neutral
The restaurant served good food but the tables were dirty.,Neutral
The room was clean but the pillows were uncomfortable.,Neutral
The facilities were good but maintenance was poor.,Neutral
The location was convenient but the surroundings were noisy.,Neutral
Overall the stay was fine but not worth the price.,Neutral
